Series_Title,Released_Year,Runtime,IMDB_Rating,,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,
Slumdog Millionaire,2008,120 min,8,,84,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,798882,"141,319,928",
Black Swan,2010,108 min,8,,79,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,699673,"106,954,678",
Tropa de Elite,2007,115 min,8,,33,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,98097,"8,06",
The Avengers,2012,143 min,8,,69,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1260806,"623,279,547",
Persepolis,2007,96 min,8,,90,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,88656,"4,445,756",
Dallas Buyers Club,2013,117 min,8,,80,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,441614,"27,298,285",
The Pursuit of Happyness,2006,117 min,8,,64,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,448930,"163,566,459",
Blood Diamond,2006,143 min,8,,64,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,499439,"57,366,262",
The Bourne Ultimatum,2007,115 min,8,,85,Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,604694,"227,471,070",
Bin-jip,2004,88 min,8,,72,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,50610,"238,507",
Sin City,2005,124 min,8,,74,Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,738512,"74,103,820",
Le scaphandre et le papillon,2007,112 min,8,, only his left eye isn't paralyzed.,92,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,103284,"5,990,075"
G.O.R.A.,2004,127 min,8,,,Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,Ozan Güven,Safak Sezer,56960,,
Ratatouille,2007,111 min,8,,96,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,641645,"206,445,654",
Casino Royale,2006,144 min,8,,80,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,582239,"167,445,960",
Kill Bill: Vol. 2,2004,137 min,8,,83,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,683900,"66,208,183",
Vozvrashchenie,2003,110 min,8,,82,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina,42399,"502,028",
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103 min,8,,85,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,77520,"2,380,788",
Mar adentro,2014,126 min,8,,74,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554,"2,086,345",
Cinderella Man,2005,144 min,8,,69,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,176151,"61,649,911",
Kal Ho Naa Ho,2003,186 min,8,,54,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,63460,"1,787,378",
Mou gaan dou,2002,101 min,8,,75,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,117857,"169,659",
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,8,,63,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,1015122,"305,413,918",
Big Fish,2003,125 min,8,,58,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,415218,"66,257,002",
The Incredibles,2004,115 min,8,,90,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,657047,"261,441,092",
Yeopgijeogin geunyeo,2001,137 min,8,,,Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,In-mun Kim,Song Wok-suk,45403,,
Dogville,2003,178 min,8,,60,Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,137963,"1,530,386",
Vizontele,2001,110 min,8,,,Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli,33592,,
Donnie Darko,2001,113 min,8,,88,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,740086,"1,480,006",
Magnolia,1999,188 min,8,,77,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,289742,"22,455,976",
Dancer in the Dark,2000,140 min,8,,61,Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare,102285,"4,184,036",
The Straight Story,1999,112 min,8,,86,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,82002,"6,203,044",
Pâfekuto burû,1997,81 min,8,,,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,58192,"776,665",
Festen,1998,105 min,8,,82,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,78341,"1,647,780",
Central do Brasil,1998,110 min,8,,80,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,36419,"5,595,428",
The Iron Giant,1999,86 min,8,,85,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,172083,"23,159,305",
Knockin' on Heaven's Door,1997,87 min,8,,,Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,27721,"3,296",
Sling Blade,1996,135 min,8,,84,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,86838,"24,475,416",
Secrets & Lies,1996,136 min,8,,91,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,37564,"13,417,292",
Twelve Monkeys,1995,129 min,8,,74,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,578443,"57,141,459",
Kôkaku Kidôtai,1995,83 min,8,,76,Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,129231,"515,905",
The Nightmare Before Christmas,1993,76 min,8,,82,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,300208,"75,082,668",
Groundhog Day,1993,101 min,8,,72,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,577991,"70,906,973",
Bound by Honor,1993,180 min,8,,47,Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,28825,"4,496,583",
Scent of a Woman,1992,156 min,8,,59,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,263918,"63,895,607",
Aladdin,1992,90 min,8,,86,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,373845,"217,350,219",
JFK,1991,189 min,8,,72,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau,142110,"70,405,498",
Beauty and the Beast,1991,84 min,8,,95,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178,"218,967,620",
Dances with Wolves,1990,181 min,8,,72,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,240266,"184,208,848",
Do the Right Thing,1989,120 min,8,,93,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,89429,"27,545,445",
Rain Man,1988,133 min,8,, they travel cross-country.,65,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,473064,"178,800,000"
Akira,1988,124 min,8,,,Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,164918,"553,171",
The Princess Bride,1987,98 min,8,,77,Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,393899,"30,857,814",
Der Himmel über Berlin,1987,128 min,8,,79,Wim Wenders,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,64722,"3,333,969",
Au revoir les enfants,1987,104 min,8,,88,Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg,31163,"4,542,825",
Tenkû no shiro Rapyuta,1986,125 min,8,,78,Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada,150140,,
The Terminator,1984,107 min,8,,84,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,799795,"38,400,000",
Gandhi,1982,191 min,8,,79,Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,217664,"52,767,889",
Kagemusha,1980,180 min,8,,84,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu,32195,,
Being There,1979,130 min,8,,83,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,65625,"30,177,511",
Annie Hall,1977,93 min,8,,92,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,251823,"39,200,000",
Jaws,1975,124 min,8,,87,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,543388,"260,000,000",
Dog Day Afternoon,1975,125 min,8,,86,Sidney Lumet,Al Pacino,John Cazale,Penelope Allen,Sully Boyar,235652,"50,000,000",
Young Frankenstein,1974,106 min,8,,80,Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle,143359,"86,300,000",
Papillon,1973,151 min,8,,58,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon,121627,"53,267,000",
The Exorcist,1973,122 min,8,,81,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,362393,"232,906,145",
Sleuth,1972,138 min,8,,,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,44748,"4,081,254",
The Last Picture Show,1971,118 min,8,,93,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,42456,"29,133,000",
Fiddler on the Roof,1971,181 min,8,,67,Norman Jewison,Topol,Norma Crane,Leonard Frey,Molly Picon,39491,"80,500,000",
Il conformista,1970,113 min,8,,100,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio,27067,"541,94",
Butch Cassidy and the Sundance Kid,1969,110 min,8,,66,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,201888,"102,308,889",
Rosemary's Baby,1968,137 min,8,,96,Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,193674,,
Planet of the Apes,1968,112 min,8,,79,Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans,165167,"33,395,426",
The Graduate,1967,106 min,8,,83,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,253676,"104,945,305",
Who's Afraid of Virginia Woolf?,1966,131 min,8,,75,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,68926,,
The Sound of Music,1965,172 min,8,,63,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,205425,"163,214,286",
Doctor Zhivago,1965,197 min,8,,69,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger,69903,"111,722,000",
Per un pugno di dollari,1964,99 min,8,,65,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,198219,"14,500,000",
8½,1963,138 min,8,,91,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,108844,"50,69",
Vivre sa vie: Film en douze tableaux,1962,80 min,8,,,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,28057,,
The Hustler,1961,134 min,8,,90,Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,75067,"8,284,000",
La dolce vita,1960,174 min,8,,95,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,66621,"19,516,000",
Rio Bravo,1959,141 min,8,,93,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,56305,"12,535,000",
Anatomy of a Murder,1959,161 min,8,,95,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,59847,"11,900,000",
Touch of Evil,1958,95 min,8,,99,Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia,98431,"2,237,659",
Cat on a Hot Tin Roof,1958,108 min,8,,84,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,45062,"17,570,324",
Sweet Smell of Success,1957,96 min,8,,100,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,28137,,
The Killing,1956,84 min,8,,91,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,81702,,
The Night of the Hunter,1955,92 min,8,,99,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,81980,654,
La Strada,1954,108 min,8,,,Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani,58314,,
Les diaboliques,1955,117 min,8,,,Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel,61503,,
Stalag 17,1953,120 min,8,,84,Billy Wilder,William Holden,Don Taylor,Otto Preminger,Robert Strauss,51046,,
Roman Holiday,1953,118 min,8,,78,William Wyler,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,127256,,
A Streetcar Named Desire,1951,122 min,8,,97,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,99182,"8,000,000",
In a Lonely Place,1950,94 min,8,,,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,26784,,
Kind Hearts and Coronets,1949,106 min,8,,,Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,Joan Greenwood,34485,,
Rope,1948,80 min,8,,73,Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Dick Hogan,129783,,
Out of the Past,1947,97 min,8,,,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,32784,,
Brief Encounter,1945,86 min,8,,92,David Lean,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey,35601,,
Laura,1944,88 min,8,,,Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,42725,"4,360,000",
The Best Years of Our Lives,1946,170 min,8,,93,William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,57259,"23,650,000",
Arsenic and Old Lace,1942,118 min,8,,,Frank Capra,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson,65101,,
The Maltese Falcon,1941,100 min,8,,96,John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre,148928,"2,108,060",
The Grapes of Wrath,1940,129 min,8,,96,John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,85559,55,
The Wizard of Oz,1939,102 min,8,,92,Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,371379,"2,076,020",
La règle du jeu,1939,110 min,8,,,Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Mila Parély,26725,,
The Thin Man,1934,91 min,8,,86,W.S. Van Dyke,William Powell,Myrna Loy,Maureen O'Sullivan,Nat Pendleton,26642,,
All Quiet on the Western Front,1930,152 min,8,,91,Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy,57318,"3,270,000",
Bronenosets Potemkin,1925,75 min,8,,97,Sergei M. Eisenstein,Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov,Ivan Bobrov,53054,"50,97",
Knives Out,2019,130 min,7.9,,82,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,454203,"165,359,751",
Dil Bechara,2020,101 min,7.9,,,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee,111478,,
Manbiki kazoku,2018,121 min,7.9,,93,Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754,"3,313,513",
Marriage Story,2019,137 min,7.9,,94,Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644,"2,000,000",
Call Me by Your Name,2017,132 min,7.9,,93,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,212651,"18,095,701",
"I, Daniel Blake",2016,100 min,7.9,,78,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818,"258,168",
Isle of Dogs,2018,101 min,7.9,,82,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114,"32,015,231",
Hunt for the Wilderpeople,2016,101 min,7.9,,81,Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483,"5,202,582",
Captain Fantastic,2016,118 min,7.9,,72,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,189400,"5,875,006",
Sing Street,2016,106 min,7.9,,79,John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109,"3,237,118",
Thor: Ragnarok,2017,130 min,7.9,,74,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775,"315,058,289",
Nightcrawler,2014,117 min,7.9,,76,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134,"32,381,218",
Jojo Rabbit,2019,108 min,7.9,,58,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi,297918,"349,555",
Arrival,2016,116 min,7.9,,81,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,594181,"100,546,139",
Star Wars: Episode VII - The Force Awakens,2015,138 min,7.9,,80,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,860823,"936,662,225",
Before Midnight,2013,109 min,7.9,,94,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457,"8,114,627",
X-Men: Days of Future Past,2014,132 min,7.9,,75,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763,"233,921,534",
Bir Zamanlar Anadolu'da,2011,157 min,7.9,,82,Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995,"138,73",
The Artist,2011,100 min,7.9,,89,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,230624,"44,671,682",
Edge of Tomorrow,2014,113 min,7.9,,71,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,600004,"100,206,256",
Amour,2012,127 min,7.9,,94,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,93090,"6,739,492",
The Irishman,2019,209 min,7.9,,94,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,324720,"7,000,000",
Un prophète,2009,155 min,7.9,,90,Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb,93560,"2,084,637",
Moon,2009,97 min,7.9,,67,Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,335152,"5,009,677",
Låt den rätte komma in,2008,114 min,7.9,,82,Tomas Alfredson,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,205609,"2,122,065",
District 9,2009,112 min,7.9,,81,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,638202,"115,646,235",
The Wrestler,2008,109 min,7.9,,80,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,289415,"26,236,603",
Jab We Met,2007,138 min,7.9,,,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,47720,"410,8",
Boyhood,2014,165 min,7.9,,100,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533,"25,379,975",
"4 luni, 3 saptamâni si 2 zile",2007,113 min,7.9,,97,Cristian Mungiu,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alexandru Potocean,56625,"1,185,783",
Star Trek,2009,127 min,7.9,,82,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,577336,"257,730,019",
In Bruges,2008,107 min,7.9,,67,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Elizabeth Berrington,390334,"7,757,130",
The Man from Earth,2007,87 min,7.9,,,Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,174125,,
Letters from Iwo Jima,2006,141 min,7.9,,89,Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase,154011,"13,756,082",
The Fall,2006,117 min,7.9,,64,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,107290,"2,280,348",
Life of Pi,2012,127 min,7.9,,79,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708,"124,987,023",
Fantastic Mr. Fox,2009,87 min,7.9,,83,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,199696,"21,002,919",
C.R.A.Z.Y.,2005,129 min,7.9,,81,Jean-Marc Vallée,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée,31476,,
Les choristes,2004,97 min,7.9,,56,Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,57430,"3,635,164",
Iron Man,2008,126 min,7.9,,79,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,939644,"318,412,101",
Shaun of the Dead,2004,99 min,7.9,,76,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,512249,"13,542,874",
Gegen die Wand,2004,121 min,7.9,,78,Fatih Akin,Birol Ünel,Sibel Kekilli,Güven Kiraç,Zarah Jane McKenzie,51325,,
Mystic River,2003,138 min,7.9,,84,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,419420,"90,135,191",
Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9,,82,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,552493,"249,358,727",
Ying xiong,2002,120 min,7.9,,85,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,173999,"53,710,019",
Hable con ella,2002,112 min,7.9,,86,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling,104691,"9,284,265",
No Man's Land,2001,98 min,7.9,,84,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,44618,"1,059,830",
Cowboy Bebop: Tengoku no tobira,2001,115 min,7.9,,61,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,42897,"1,000,045",
The Bourne Identity,2002,119 min,7.9,,68,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,508771,"121,661,683",
Nueve reinas,2000,114 min,7.9,,80,Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,49721,"1,221,261",
Children of Men,2006,109 min,7.9,,84,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,465113,"35,552,383",
Almost Famous,2000,122 min,7.9,,90,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,252586,"32,534,850",
Mulholland Dr.,2001,147 min,7.9,,85,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,322031,"7,220,243",
Toy Story 2,1999,92 min,7.9,,88,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512,"245,852,179",
Boogie Nights,1997,155 min,7.9,,85,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,239473,"26,400,640",
Mimi wo sumaseba,1995,111 min,7.9,,75,Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,51943,,
Once Were Warriors,1994,102 min,7.9,,77,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590,"2,201,126",
True Romance,1993,119 min,7.9,,59,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918,"12,281,500",
Trois couleurs: Bleu,1993,94 min,7.9,,85,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,89836,"1,324,974",
Jûbê ninpûchô,1993,94 min,7.9,,,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,34529,,
Carlito's Way,1993,144 min,7.9,,65,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000,"36,948,322",
Edward Scissorhands,1990,105 min,7.9,,74,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368,"56,362,352",
My Left Foot: The Story of Christy Brown,1989,103 min,7.9,,97,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076,"14,743,391",
Crimes and Misdemeanors,1989,104 min,7.9,,77,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670,"18,254,702",
The Untouchables,1987,119 min,7.9,,79,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842,"76,270,454",
Hannah and Her Sisters,1986,107 min,7.9,,90,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176,"40,084,041",
Brazil,1985,132 min,7.9,,84,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567,"9,929,135",
This Is Spinal Tap,1984,82 min,7.9,,92,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812,"188,751",
A Christmas Story,1983,93 min,7.9,,77,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947,"20,605,209",
The Blues Brothers,1980,133 min,7.9,,60,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182,"57,229,890",
Manhattan,1979,96 min,7.9,,83,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436,"45,700,000",
All That Jazz,1979,123 min,7.9,,72,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,"37,823,676",
Dawn of the Dead,1978,127 min,7.9,,71,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512,"5,100,000",
All the President's Men,1976,138 min,7.9,,84,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031,"70,600,000",
